text,sentiment
"jerofire Hi, It is our endeavour to provide you with a seamless support with a satisfactory resolution Your DM fo",1
Perfect way to ruin your Sunday is to use SwiggyCares Every order is a struggle followed by random pathetic peopl,0
FoodPanda Loot Get Rs  Food Order at just Rs  only,2
zomatocare i am sure u have my number  check it on my zomato account  id  rajangmailcom your team me,1
inconsumerforum  complaint number  is raised against SwiggyCares Order number  Thanks for del,1
"Startup Street Indias Answer To Amazon Go, Zomato Is Cracking The Whip, NeuroTags Is Fighting The Counterfeit Mar",0
RangaprasadKPR iamsullar swiggyin SwiggyCares harshamjty PoliceTamilnadu chennaipolice Yes Very true Yd,1
"Freaking pissed with foodpanda Experienced TWO order cancelled today, one for lunch and another for dinner now Ev",0
guys are millionaire because we And treating these guys like this wont make you ma,1
"ZomatoUAE Check out Old fashioned  a cocktail with a twist at Headlines  For more, check out the Editors Notes on the restaur",2
Zomato Look into this matter pretty serious and shameful for you guys,2
ankurkulkarni Zomato Zomato delivers very poor quality food We get good quality in same restaurant if we visit there insted,0
rvelvetseulrene foodpanda hahahaha charos,2
swiggyin Get  off on your first  Swiggy orders Use code GRAB at checkout Max discount order TCA,2
Zomato ZomatoIN zomatocare zomato This is not done You can not change conditions with which we have subscribed,2
deepsanghvi Zomato ZomatoIN zomatocare zomato This is not done You can not change conditions with which we have subscribed post,2
deepigoyal Zomato Order no this is horrible the butter chikhen is really nice and upto the mark b,0
ZomatoIN Zomato Order no this is horrible the butter chikhen is really nice and upto the mark but,0
PagluPiggu Aajkal Youtube kholta hoon toh aisa lagta hai Zomato ki site khol raha hoon,2
prabirkumarhal deepigoyal Zomato Kebab instead of tikka  Theres a catchWe are getting this checked and we,2
smollitions waduh abg foodpanda ni terhibur aku,2
"swiggyin SwiggyCares Hi Swiggy, wrong items were delivered twice in a single day First time I didnt complain",0
"Treats from the FarEast available in PuneHave a look at this Review of Wok Hei, Aundh, Pune on Zomato",2
ZomatoIN What a pathetic services Got a call from restaurant saying the delivery boy is unavailable Ph,0
Foodpanda online food order Voucher  off   Cashback,2
AxisBank That moment when you enjoy a sweet moment of solitude Enjoy  off on Zomato orders with Axis Bank Credit and Debit Cards,1
"Love checksin on Twitter How Zomato, OYO, Starbucks celebrated Section  ruling",1
"GooglePayIndia please support Zomato Order and BookMyShow as well, thanks",1
"ZomatoIN Zomato Order booked at , and its been  minutes Is Zomato seriously an online food app",0
eo Nephew wanted a pizza at the last moment when in railway station swiggy delivered on the platform likeadream,2
swiggyin Get  off on your first  Swiggy orders Use code GRAB at checkout Max discount order TCA,2
"foodpandaIndia ORDER ID bckqt Order confirmed at pm,  minutes was expected time but till now order has",2
zomatocare deepigoyal Zomato When Its already  hours gone,2
Foodpanda  Flat  Off Upto Rs on all Food Orders All Users   CB upto  via PhonepeUse code  GET,2
MyIndianBank Give a treat to your taste buds with delicious food from Zomato without worrying about expenses Pay using Indian Bank Ma,1
Amazondeals Foodpanda  Flat  Off Upto Rs on all Food Orders All Users   CB upto  via PhonepeUse code  GETLi,2
kutumb kutumbthali  indias biggest thali foodie foodbloger foodgasm foodlover zomato zomatoconnoisseur,2
"foodpandaIndia Cravings can strike anytime, anywhere Indulge them with foodpanda at CraveParty, the Biggest Food Party in Town S",1
krishanbajaj We believe you have contacted foodpanda Pakistan and would request you to contact your desired coun,1
Zomato ZomatoIN This is seroius now Even after  minutes no information on the food ordered Please shut shops,2
I opened the swiggy app to book a cab BcosWell priorities,2
dominosindia Does the picture not speak Check my order number   Order placed with Swiggy,1
"vilegenius So Zomato now that we can only use  gold per couple, are you planning to refund my membership  I dont need it as my hus",2
"Have a look at this review of Pablo, Neo SOHO Mall, Tanjung Duren, Jakarta on Zomato",2
DonovanDman I actually like the foodpanda and deliveroo windbreaker,1
kutumb kutumbthali  indias largest thali foodie foodbloger foodgasm foodlover zomato zomatoconnoisseur,2
swiggyin Get  off on your first Swiggy order Use code BINGE No Minimum order value Max discount order TCA,1
DoctorLFC Fastest food delivery companies in IndiaTied at nd position   Swiggy Zomato Scootsyst  Medical interns deliv,2
jiminamv foodpanda is here,2
seemagoswami Thank you for the interesting topics you bring out to discuss this one was great  cos I worry for,1
rabiulislam Zomato ZomatoIN Ohhh  Just run a breaking Aston band on BTVI thats it,2
"Wanted to foodpanda because I was too lazy to get out of the houseBut then I thought to myself, steak is best served hot on the spot",1
"How many minutes do you want from me, foodpanda",1
Thank you for reading,1
"Hey Surties, We are now delivering LIVE GarmaGaram Dhokla, Khaman, and Locho on all   Swiggy, Zomato amp UberEats",2
AmazingShineeee lovealetskie Foodpanda na yan o kaya honestbee Hahahaha,2
UberEatsIND So the restaurant is using Zomatos tape even in my order through Uber Eats,2
syafieqaszly foodpandasg namirzaa  boi foodpanda send me food pls love you,1
"SurtilalaOo, We are delivering the delicious, tasty amp healthly delicacies of Khaman, Dhokla amp Locho on Swiggy, Zoma",1
Wtf ZomatoIN zomatocare order booked via BehrouzBiryani which shows delivery and then post order calls to cancel,0
Its a pasta kind of day for usOrder nowZomato   Eats,2
"foodpandaIndia no wonder foodpanda is giving out discounts, they cannot sustain competition swiggy amp ubereats s",1
devellix Its on Swiggy Free delivery over,1
"SurtilalaOo, We are delivering the delicious, tasty amp healthly delicacies of Khaman, Dhokla amp Locho on Swiggy, Zoma",1
"meghanakotian Hi, It is our endeavour to provide you with a seamless support with a satisfactory resolution Your",1
Trying to order food from UberEats Verification failing from  days had to order it from swiggyin  zomoto swiggy,0
And thats how trust is lost Zomato  was in the middle of making a payment for an online delivery and get this  s,1
smollitions waduh abg foodpanda ni terhibur aku,2
"sethi Zomato swiggyin Hey Abhishek, this sounds quite strangeKindly share your order details and we shal",1
I liked a YouTube video  Flavours That Unite Us  foodpanda Malaysia Merdeka,1
Get ur order delivered by swiggydownload the app,2
Get amzing discount at foodpanda food foodpanda food Foodie Foodies foodlovers foodcoupons discount,2
"FoodPanda  Dessert  Rs only, no delivery charge HyderabadUse code  NINE offer ends todayLink",0
swiggyin Get  off on your first Swiggy order Use code BINGE No Minimum order value Max discount order TCA,1
Zomato zomatocare ZomatoIN u guys fool with some  been more than hr and the food is not,0
"djyadav Zomato ZomatoIN Hi there, kindly share your order details and we shall get this checked ASAPAM",1
zomatocare Zomato ZomatoIN,2
Foodpanda  mcd  settled,2
zomatocare Zomato ZomatoIN This is the order Id,2
"SwiggyCares Everytime I order from Swiggy, I literally regret Bullshit Service Its already been  hours and n",0
"Seems like FoodPanda foodpandaIndia is promoting their problem with  rs deals I ordered, and I received, and th",1
"ChhatrabhujPaul People, please dont order anything from foodpandaIndia As I have ordered  shakes from Keventersshake but they are",1
SwiggyCares swiggyin  The service has been degraded Now We should all look for other options guys If you are i,0
StartUpStreet  Zomato cracks the whipMahimaKapoor azmanusmani Read more,2
smollitions waduh abg foodpanda ni terhibur aku,2
Thanks Zomato ZomatoIN for timely delivery of food and delicious too,1
Wow mcd cyber dah boleh delivery Tapi guna foodpanda,1
No reply still foodpanda looks like u don wanna survive for long in d market Horrible customer service,0
SwiggyCares Issue resolvedMy trust in swiggy reinstatedBut yes you need to do something of the delivery boys,1
"Abang Awak diet ke, QishMe Eh, tak lah Adik dah makan dah tadi kat rumah, order FoodPandaAyah Tak elok se",2
"Missed an item ordered through swiggy , missed an item Called customer care, solved issue like a pro",1
"NJKTiwari Zomato ZomatoIN Haha not needed now, food delivered at  hoursJust be little considerable and w",1
"ZomatoIN Zomato Team, are your servers down",2
"Dont forget to check our menu, special buffets and events on Zomato when you decide to drop by It would be great",1
"Heres my review of Big Yellow Door, Vijay Nagar on Zomato  zomato",2
BarbequeNation rude and uninterested staff sharing ambiguous info at bbqntn Pune deccan gymkhana branch You have,0
Zomato zomatocare ZomatoIN deepigoyal Is there a new policy on Zomato dot customers cant cancel order with  m,1
ZomatoIN Zomato I received food with foul smell  Your order from Krupa Mess amp Tiffins is on its way Enjoy yo,1
ZomatoIN Zomato ZomatoIN I am throwing food,2
Now its near to  hours Cannot even cancel as another ordrler would take more time Such pathetic service,0
"souravlahoti Zomato ZomatoIN deepigoyal Hi Sourav, we are here to help you out with thisKindly DM us your co",1
ZomatoIN Zomato zomatocare ZomatoUK  order number Again had to cancel order as your rider said he wi,0
SwiggyCares Do you allow us to cancel order in a minute if placed a ordered incorrectly bcz Zomato doesnt,2
"sindhutiwari ZomatoIN Zomato Hey Sid, we are getting this checked and well reach out to you ASAPAM",1
"Jambho Food         Zomato, Swiggy  ETVUP",2
ZomatoIN LateorderdeliveryLootlocustomerI had very bad experience with Zomato I made one order by userid,0
ZOMATO,2
marielleelagman idontkei Oo ata Parang I saw lang din recently yung foodpanda,2
rabiulislam ZomatoIN What a pathetic services Got a call from restaurant saying the delivery boy is unavailable Ph,0
ZomatoIN Zomato zomatocare BurgerKing  order number Again had to cancel order as your rider said he,0
Has Zomato shut down its Treats program,2
ZomatoIN So with your revised nonsense unlocking restriction If I  the person who has paid for ZOMATO GOLD want,0
jasmeenGdugal ZomatoIN Zomato BurgerKing Hey Man Burgers are like love at first bite We are reaching out to y,1
Zomato you guys are so miser that to initiate the refund processit has been more than your tagline of  workin,0
Slysterr Did not click You can probably check Zomato though,2
zomatocare ZomatoIN Zomato BurgerKing Can only bite into it if it reaches me in this case sadly not The ser,0
Zomato Fake hai sab  Saale Pehle paise le kar baad mein order cancel kar dete hai Saali fake app  fake servic,0
"zomatocare ZomatoIN Zomato Leave it, I always have issues when ordered from Zomato",0
AnikGaat ZomatoIN LateorderdeliveryLootlocustomerI had very bad experience with Zomato I made one order by userid  Ex,0
hansaraman ZomatoIN Zomato zomatocare What happened,2
Techglares Foodpanda Offer  Flat  Off Upto RsCode  SAVEPls  and Share,1
Staying in th floor has its own charm You can feel the feeble tremor even The bed shook a little I thought I,2
"iamdatemike ZomatoIN Zomato zomatocare From tomorrow, you can use only x zomato golds at a table Earlier, if",2
iamSunnyBhatti Zomato Hey Sunny We did not want you to wait so much We are reaching out to you super soonMr Singh,1
Register on Swiggy with MVHIYM and earn a discount Download on,2
"hansaraman ZomatoIN Zomato zomatocare can they retrospectively impose those it is a breach of contract then, no",0
"hansaraman ZomatoIN Zomato zomatocare my contract law isnt great, but even if they have a clause in the origin",0
anil Zomato Hey Arnav That sounds hurtful Please share your details with us and we shall get this checked for youMr Singh,2
"Just to clarify, I usually dont complain about any organisation publicly I understand that sometimes things go wr",1
"deepsanghvi Zomato ZomatoIN zomatocare Hi Deep, We are sorry to hear this We would like to assure you that w",1
"ZomatoIN Why should someone order from Zomato when the dishes prices are higher than on other platform, say",2
"foodpandaIndia Another incident with same restaurant, order number wxgyp declined by Malabar restaurant, ban",0
foodpanda badserviceI wasted half an hour to know the food would be delivered to me or not Faasos never receive,0
zomato Thanks for your sarcasmPart,1
zomatocare Zomato,2
zomatoPart,2
zomato Part,2
foodpandaIndia Biryani for some SundayMotivation Sounds Delicious DGet this amazing offer only on the foodpanda app,1
iamdatemike ZomatoIN Zomato zomatocare Im guessing they are banking on us not suing,1
"In my opinion, one of the underrated facts of Info Edges investee companies is their abil",2
"iamaashwin Me and my friends ordered from foodpandaIndia application which was showing the restaurant open, so we did payment and ord",1
harshbarot Really disappointed by foodpandaIndia as I ordered the food from restaurant and we were waiting for the confirmation but,0
"Every day, we discover a new angle to look at pizza from, and it keeps looking better every day  Marie Jose via Zomato app",1
KashishShine Staying in th floor has its own charm You can feel the feeble tremor even The bed shook a little I thought I was,2
"rs for a restaurant  kms away No wonder there are so many Swiggy delivery boys Its easy money And yeah, the",1
"Dear Zomato ZomatoIN deepigoyal, you introduced fair usage policies for your partners but what about your custom",1
Aree koi hai ya nai Zomato ZomatoIN zomatocare,2
Register on Swiggy with RGQHA and earn Rs  Download on,2
"Have a look at this review of Le Plaisir, Deccan Gymkhana on Zomato",2
"Anitheking Zomato ZomatoIN Hey Anirudh, we are here to help you outKindly DM us your contact number so that w",1
"Heres my review of Blue Tokai Coffee Roasters, Champa Gali, Saket on Zomato",2
PEastdelhi This is the season to indulge  Indian authentic flavoursCall us at  indiancuisine flavour foodie zo,2
zomatocare Zomato ZomatoIN,2
foodpandaIndia the way Foodpanda ocks your account if you log in with  account on a single device you will soon b,2
Zomato worst app I have ever seen First they ploted auto order code in there app than they are showing order deli,0
Zomato zomatocare ZomatoIN ZomatoSA ZomatoUK ZomatoUS,2
zomato,2
Felling cheated Zomato,0
Bites x vibes by foodpanda   amoy street,2
"Himanshuarora Zomato Hey Himanshu, that sound quite tangledKindly share the digit Zomato order ID so that",1
zomatocare Zomato ZomatoIN Now anyone going to reply or not,2
"Is Bharatbandh applicable for drones harshamjty Wondering, if Swiggy has some alternative plans to deliver food tomorrow",2
zomatocare Zomato Have dm the order id,2
Swiggy mobile team is hiring and I am looking for multiple open positions iOS amp RN We are solving interesting pro,1
Hello Zomato zomatocare ZomatoIN  Respond Pl,2
AntiAbhiyan All Swiggy staff go through the viable checks before being associated with us Please do let us kno,1
Zomato dominosindia order no   medium pizzas and only  oregano sachets Pls start charging for t,0
Register on Swiggy with VDNGO and earn Rs  Download on,2
"AbinavSeelan ZomatoGold Zomato I usually dine alone or upto  people, all of whom have paid upfront for a Gold membership  The upda",0
"SwiggyCares You were suppose to call me today, but yet you ignored Speaks volume of your service good luck with",1
ZomatoGold worst experience Please check the below response from Zomato and kindly check the time gap as wellfin,1
zomatocare Worst customer experience by Zomato gold so far,0
"harshamjty nandanreddy rahuljaimini Good luck with such a great customer support team, after waiting for hours n",1
Guys please use your Zomato Gold today,1
manjunathc Swiggy mobile team is hiring and I am looking for multiple open positions iOS amp RN We are solving interesting problems,1
zomatocare Himanshuarora Zomato ZomatoIN zomatocare R u delivering to beggersOrder no I alrea,0
Zomato zomatocare ZomatoIN you are worst service providerYou deliver cold food and appoint a rude delivery guy,0
SwiggyCares So you want me to be available on the Twitter chat so that you can clear your guilt no sir I am not a,2
"Mere ko wo zomato ke delivery boy wala bag lena he, pizza ghar pe late late fatt gyi",2
"Swiggy Food Order amp Delivery Using Swiggy, you can order food and beverages  Buyscroll",2
"Ankind Zomato ZomatoIN Hey Ankur, apologies for the hassle over hereKindly share your order details and we",1
zomatocare anil Zomato ZomatoIN zomatocare R u delivering to beggersOrder no I already,0
zomatocare Zomato ZomatoIN Have uninstalled the app dude,2
zomatocare iamSunnyBhatti Zomato ZomatoIN zomatocare R u delivering to beggersOrder no I alread,0
zomatocare Zomato ZomatoIN No need to check further,0
"zomatocare Zomato ZomatoIN Your cutomer care executive has already explained procedure and protocols, which i am not satisfied",1
mariasaifuddin Hahaha I cant wait to save my  paise Logging into Swiggy right away,1
Placed and order with foodpandaIndia  Placed another order half an hour later with swiggyin  Swiggy delivered,2
"akshaykawale Zomato ZomatoIN deepigoyal Hi Akshay, we are sorry to hear this We would like to assure you that",1
Zomato ZomatoIN zomatocare Order ID I specifically asked for Jain preparation but the food delivered,2
Advertising done right Zomato,2
zomatocare Zomato ZomatoIN  recivied call from dis no Guys are serious or not because your member,0
shivi McDonalds MCD Swiggy mcdonaldsindia Order no I was so grossed out today to see cockroach in my foodIt wa,0
"vaibhavbhai Zomato ZomatoIN Hi Vaibhav, we never intend to disappoint you in this wayWe are getting this che",1
me with swiggy ubereats and tomato all open my family loudly arguing in the background over kaju draksh havmore ice,0
"If you are ok with giving tips to waiters in restaurant, do it for food delivery swiggyubereats guys too They work harder than former",1
zomatocare  ZomatoIN After waiting for more than  hours my order is cancelled Worst service from zomato Spoile,0
"ksnagarajan If you are ok with giving tips to waiters in restaurant, do it for food delivery swiggyubereats guys too They work har",1
Paytm vijayshekhar Zomato I have coupon from Paytm but while applying while ordering on zomato it declined Now,2
"Zomato Not one of your delivery guys in Aurangabad wear helmets, they drive with impunity on the wrong side of the roads",0
zomatocare iamSunnyBhatti Zomato ZomatoIN This is the reply from your support teamI didnt know the restaura,1
zomatocare anil Zomato ZomatoIN This is the reply from your support teamI didnt know the restaurant,1
zomatocare Himanshuarora Zomato ZomatoIN This is the reply from your support teamI didnt know the restaur,1
SwiggyCares Swiggy delivery person covered more than  kms to deliver food last nite amp yet was all smiles Excellent service swiggy,1
"OmRajpurohit Paytm vijayshekhar Zomato Hi there, kindly DM us your contact number so that we can reach out to",1
Zomato whats the use of live tracking when no one is updating it Received the order which was delayed by  minu,0
"ZomatoIN zomatocare zomato I ordered on zomato at around  PM, the estimated time of delivery was upto  P",2
"sarcasticsharif Zomato Hey Hussain, kindly share your order details and we shall get this checked ASAPAM",1
I talked on zomato support also they are using foul language and not providing me resolution You are making fool o,0
Zomato swiggyin could you please give a mobile phone stand thingies to your delivery boys They drive with one,1
"ChinmayAgarwa ZomatoIN Zomato Hi Chinmay, that is clearly a lot of time for a Sunday night dinnerWe are get",1
swiggyin SwiggyCares Dear Swiggy You are in food delivery business You cant say that we will get back to you,1
zomatocare ZomatoIN Zomato Now I will not accept order because its already  hours Man youve imagined  mins,0
SwiggyCares swiggyin Order Number I ordered an hour back Still no delivery executive assigned Wast,0
Hello foodpanda my old friend,1
"jhaatlyf Hi, We intuit that distress has been caused to you and we completely bear the responsibility to fix this",0
zomatocare Zomato Order number,1
zomatocare ZomatoIN Zomato Waiting for your asap,2
zomatocare ZomatoIN Zomato BurgerKing Its a pity you are so casual while spoiling customers dinners with hey,2
"zomatocare ZomatoIN Zomato BurgerKing Mr Singh, is a pity you are so casual while spoiling customers dinners",2
"rehanhere Hi As per your chat conversation with one of our executives, we hope the issue has been resolved Looki",1
"monikuntal Hi, Were terribly sorry to hear about your experience Please DM us your registered contact details so",0
"prateekjain Hi Prateek, Apologies for delay in the refund Please DM us your registered contact details so that",2
TherealSPD dominosindia No denying that pointWhere did u order from My similar experience was when I ordered,0
Staff are the ones who enhance your dining experience  odonerme baklava odoner lamer,0
DearPestle Foodpanda,2
foodpanda swiggy  its all about competition right,2
SwiggyCares Just received an order from McD via Swiggy with items more than rs worth missing Contacted restaur,2
swiggyin Just received an order from Mcd via Swiggy with items more than rs worth missing Contacted restauran,2
SwiggyCares wrong order items delivered can u please checkYour order  was delivered earlier than ex,0
vits Looted money and changed the policy what a smart move ZomatoIN Zomato deepigoyal zomatogold,1
Stop using SwiggyCares as they dont have executives for delivery and after hours you have to track these guys and,0
DoctorLFC Fastest food delivery companies in IndiaTied at nd position   Swiggy Zomato Scootsyst  Medical interns deliv,2
"Swiggy launches POP, to focus on singleserve meals, quick ordering",2
"zomatocare Zomato This was from Tandoori Trumpets, Sector , Gurgaon",2
"SuneelPawar Hi, We sincerely apologize for the inconvenience caused Request you to share your order details and w",1
"vaibhavkanwal ZomatoIN vipulsatya Looks like Zomato shot themselves in the foot here, you dont take back offers",1
Zomato ZomatoIN  hours since I placed my order still waitingThanks for making me consider swiggy,2
Today after waiting for around one hour I was forced to cancel my order from swiggy as the delivery boy told me tha,0
Today while I eagerly waited for my order from foodpandaorder codeamlki pathetic behavior from delivery boy,0
KMantoo Zomato ZomatoIN Hey there We regret to hear about your weekends dinner Having this checked right away for you VS,0
foodpandaIndia Highlighting tempting pictures of desserts on the app amp delivering ordinarily average items Is thi,2
zomatocare Zomato ZomatoIN Its been  plus hour with your chat service amp Im still hanging on,2
"swiggyin When hunger tweets, well help you handle it Get the Swiggy app now",1
SwiggyCares OneFineTweet My issue got resolved last week swiggy Thank you,1
SwiggyCares wat did ur representative promise last tym that the mistakes will not be repated and swiggy will make,0
"SwiggyCares will suggest all of your there dont use swiggy to place order , use ZomatoIN  if you want a good facility",1
Request everyone to NOT subscribe to swiggy super Most useless waste of money SwiggyCares LiveFromALounge,0
Zomato  absolute nonsensehopeless delivery systemwaste of time,2
zomatocare ZomatoIN Delivery person has gone somewhere else instead of coming to my place On top of it he is not,1
"Have a look at this review of The Square, Vishal Gaon on Zomato",2
"SwagatoM Zomato Hi there, we are sad to hear thatKindly DM us your contact number so that we can reach out to",0
zomatocare Zomato,2
DoctorLFC Fastest food delivery companies in IndiaTied at nd position   Swiggy Zomato Scootsyst  Medical interns deliv,2
YouTube   tanintel x foodpanda,2
swiggyin Get  off on your first Swiggy order Use code BINGE No Minimum order value Max discount order TCA,1
"My dinner today is the love child of swiggyin amp Zomato  Ordered from Zomato, packed in Swiggy box and cello tap",1
SwiggyCares swiggyin never pay swiggy online Always keep them hanging with COD options Once they recv payment,1
zomatocare ZomatoIN Zomato This is stavan shah from Ahmedabad GujaratI had ordered some food from status fanc,2
"I messaged in the customer service in zomato even that is not replying me, it has been already  minutes but I hav",2
"Heres my review of ButterflyHigh, Bandra Kurla Complex on Zomato ZomatoIN",2
foodpandaIndia hey ur promotion delivery is a waste of time ordered twice and both time order cancelled such a was,0
"stavan ZomatoIN Zomato Hi Stavan, apologies for a complete mess over hereWe are getting this checked and we",0
"Heres my review of Burger King, Connaught Place on Zomato",2
DoctorLFC Fastest food delivery companies in IndiaTied at nd position   Swiggy Zomato Scootsyst  Medical interns deliv,2
swiggy worst order I want my money back,0
UberIndia UberSupport UberINSupport Zomato ZomatoIN zomatocare SwiggyCares swiggyin The food is still no,0
RTKoheeiOkubo SwiggyM,2
"Gauravdhanawat Hi, We intuit that distress has been caused to you and we completely bear the responsibility to fix",0
anuj Today while I eagerly waited for my order from foodpandaorder codeamlki pathetic behavior from delivery boy Ranjit Ka,0
"Zomato Very bad service in Ranchi st order was misplaced by rider, nd repetitive  order was not expedited, casu",0
ZomatoIN ZomatoGold Their are only  restaurants remaining in the complete nagpur city that SUPPORT zomato gold,1
swiggy gulab jamun wala ad bada sahee hai,2
"Heres my review of Burger King, Connaught Place on Zomato  zomato worstexperience",2
foodpanda,2
anuj mumbaitraffic Foodpanda is a big fraudI have my own experienceswiggy far better,1
zomatocare Zomato ZomatoIN Im still waiting,2
"AjayRanjan Zomato Hi Ajay, we are here to sort this out for youKindly share your order details and we shall",1
shivi McDonalds MCD Swiggy mcdonaldsindia Order no I was so grossed out today to see cockroach in my foodIt wa,0
Follow my food journey on Zomato,2
zomatocare Zomato,2
"Bentar lg buka di aeon bsd, wajib cobain nih Check out Zenbu on Zomato",2
"bhash foodpandaIndia Olacabs Hi bhash I ordered food from foodpanda after receiving your mail, the restaurant h",2
"I reviewed Spukies  The Veg Sigree, Goregaon East and rated it  on Zomato LoveFood",2
They are like that only maam,1
"swiggyin When hunger tweets, well help you handle it Get the Swiggy app now",1
zomatocare Zomato First order was misplaced by zomato rider and second is getting delayed,0
"mhirk In my opinion, one of the underrated facts of Info Edges investee companies is their ability to gener",1
foodpandaIndia Dont start the promotions which u cant handle or your restaurants wasteoftime foodpanda foodservice,2
anuj Today while I eagerly waited for my order from foodpandaorder codeamlki pathetic behavior from delivery boy Ranjit Ka,0
"dashah I reviewed Spukies  The Veg Sigree, Goregaon East and rated it  on Zomato LoveFood",2
DoctorLFC Fastest food delivery companies in IndiaTied at nd position   Swiggy Zomato Scootsyst  Medical interns deliv,2
foodpandaIndia  do you really cares about customer I cannot even think of ordering from Foodpanda again in my lif,1
JokinglyYours wife aaj khana bahar order kareme zomato try karwife Zomato bahut sare animals hote hainme wife,2
Zomato,2
This how zomato made you stupid well done Zomato zomatocare ZomatoIN  ab yese to tum logo ko chodunga nhi,0
Worst service by swiggy Delay in delivery No customer support SwiggyCares,0
"swabtraj Hey Sumit, As this was a Swiggy order, Ive notified Swiggy about the refund I will not be able to confi",2
"zomatocare Zomato On chat with customer care for last  min , to get food delivery",1
zomatocare Zomato But no help,1
"Zomato zomatocare  Please stop cheating customers, order id",0
syahredzan KPDNKK Dont think so actually the price before and during tax holiday was cheaper I noticed yesterday,1
MeowMee Eesari zomato open chess order ivvu TL kinext time TL kuda open cheskuntadu,2
"Rohit Zomato Hi Rohit, apologies for the hassleWe are getting this checked and well reach out to you ASAPAM",1
Dim sum Sunday Montreal dimsum montrealfood food foodie foodporn foodgasm enroutemag foodlover foodpics,2
kandhariajay Advertising done right Zomato,2
"swiggyin Patan,jamnagar ma swiggy chalu nathi pacha ke che swiggy install karo pela service to provide karo city ma swiggyin",2
SebBlog Dim sum Sunday Montreal dimsum montrealfood food foodie foodporn foodgasm enroutemag foodlover foodpics foodblogge,2
"zomato ZomatoIN same outlet, same menu, same items but different rates on direct order and online order Please e",1
swiggyin Get  off on your first Swiggy order Use code BINGE No Minimum order value Max discount order TCA,1
foodpanda promised  minutes Ordered at  pm Now  order not delivered n no response from support tea,1
