,text,sentiment
82,krishanbajaj We believe you have contacted foodpanda Pakistan and would request you to contact your desired coun,Positive
83,Zomato ZomatoIN This is seroius now Even after  minutes no information on the food ordered Please shut shops,Neutral
84,I opened the swiggy app to book a cab BcosWell priorities,Neutral
85,dominosindia Does the picture not speak Check my order number   Order placed with Swiggy,Positive
86,"vilegenius So Zomato now that we can only use  gold per couple, are you planning to refund my membership  I dont need it as my hus",Neutral
87,"Have a look at this review of Pablo, Neo SOHO Mall, Tanjung Duren, Jakarta on Zomato",Neutral
88,DonovanDman I actually like the foodpanda and deliveroo windbreaker,Positive
89,kutumb kutumbthali  indias largest thali foodie foodbloger foodgasm foodlover zomato zomatoconnoisseur,Neutral
90,swiggyin Get  off on your first Swiggy order Use code BINGE No Minimum order value Max discount order TCA,Positive
91,DoctorLFC Fastest food delivery companies in IndiaTied at nd position   Swiggy Zomato Scootsyst  Medical interns deliv,Neutral
92,jiminamv foodpanda is here,Neutral
93,seemagoswami Thank you for the interesting topics you bring out to discuss this one was great  cos I worry for,Positive
94,rabiulislam Zomato ZomatoIN Ohhh  Just run a breaking Aston band on BTVI thats it,Neutral
95,"Wanted to foodpanda because I was too lazy to get out of the houseBut then I thought to myself, steak is best served hot on the spot",Positive
96,"How many minutes do you want from me, foodpanda",Positive
97,Thank you for reading,Positive
98,"Hey Surties, We are now delivering LIVE GarmaGaram Dhokla, Khaman, and Locho on all   Swiggy, Zomato amp UberEats",Neutral
99,AmazingShineeee lovealetskie Foodpanda na yan o kaya honestbee Hahahaha,Neutral
100,UberEatsIND So the restaurant is using Zomatos tape even in my order through Uber Eats,Neutral
101,syafieqaszly foodpandasg namirzaa  boi foodpanda send me food pls love you,Positive
102,"SurtilalaOo, We are delivering the delicious, tasty amp healthly delicacies of Khaman, Dhokla amp Locho on Swiggy, Zoma",Positive
103,Wtf ZomatoIN zomatocare order booked via BehrouzBiryani which shows delivery and then post order calls to cancel,Negative
104,Its a pasta kind of day for usOrder nowZomato   Eats,Neutral
105,"foodpandaIndia no wonder foodpanda is giving out discounts, they cannot sustain competition swiggy amp ubereats s",Positive
106,devellix Its on Swiggy Free delivery over,Positive
107,"SurtilalaOo, We are delivering the delicious, tasty amp healthly delicacies of Khaman, Dhokla amp Locho on Swiggy, Zoma",Positive
108,"meghanakotian Hi, It is our endeavour to provide you with a seamless support with a satisfactory resolution Your",Positive
109,Trying to order food from UberEats Verification failing from  days had to order it from swiggyin  zomoto swiggy,Negative
110,And thats how trust is lost Zomato  was in the middle of making a payment for an online delivery and get this  s,Positive
111,smollitions waduh abg foodpanda ni terhibur aku,Neutral
112,"sethi Zomato swiggyin Hey Abhishek, this sounds quite strangeKindly share your order details and we shal",Positive
113,I liked a YouTube video  Flavours That Unite Us  foodpanda Malaysia Merdeka,Positive
114,Get ur order delivered by swiggydownload the app,Neutral
115,Get amzing discount at foodpanda food foodpanda food Foodie Foodies foodlovers foodcoupons discount,Neutral
116,"FoodPanda  Dessert  Rs only, no delivery charge HyderabadUse code  NINE offer ends todayLink",Negative
117,swiggyin Get  off on your first Swiggy order Use code BINGE No Minimum order value Max discount order TCA,Positive
118,Zomato zomatocare ZomatoIN u guys fool with some  been more than hr and the food is not,Negative
119,"djyadav Zomato ZomatoIN Hi there, kindly share your order details and we shall get this checked ASAPAM",Positive
120,zomatocare Zomato ZomatoIN,Neutral
121,Foodpanda  mcd  settled,Neutral
122,zomatocare Zomato ZomatoIN This is the order Id,Neutral
123,"SwiggyCares Everytime I order from Swiggy, I literally regret Bullshit Service Its already been  hours and n",Negative
124,"Seems like FoodPanda foodpandaIndia is promoting their problem with  rs deals I ordered, and I received, and th",Positive
125,"ChhatrabhujPaul People, please dont order anything from foodpandaIndia As I have ordered  shakes from Keventersshake but they are",Positive
126,SwiggyCares swiggyin  The service has been degraded Now We should all look for other options guys If you are i,Negative
127,StartUpStreet  Zomato cracks the whipMahimaKapoor azmanusmani Read more,Neutral
128,smollitions waduh abg foodpanda ni terhibur aku,Neutral
129,Thanks Zomato ZomatoIN for timely delivery of food and delicious too,Positive
130,Wow mcd cyber dah boleh delivery Tapi guna foodpanda,Positive
131,No reply still foodpanda looks like u don wanna survive for long in d market Horrible customer service,Negative
132,SwiggyCares Issue resolvedMy trust in swiggy reinstatedBut yes you need to do something of the delivery boys,Positive
133,"Abang Awak diet ke, QishMe Eh, tak lah Adik dah makan dah tadi kat rumah, order FoodPandaAyah Tak elok se",Neutral
134,"Missed an item ordered through swiggy , missed an item Called customer care, solved issue like a pro",Positive
135,"NJKTiwari Zomato ZomatoIN Haha not needed now, food delivered at  hoursJust be little considerable and w",Positive
136,"ZomatoIN Zomato Team, are your servers down",Neutral
137,"Dont forget to check our menu, special buffets and events on Zomato when you decide to drop by It would be great",Positive
138,"Heres my review of Big Yellow Door, Vijay Nagar on Zomato  zomato",Neutral
139,BarbequeNation rude and uninterested staff sharing ambiguous info at bbqntn Pune deccan gymkhana branch You have,Negative
140,Zomato zomatocare ZomatoIN deepigoyal Is there a new policy on Zomato dot customers cant cancel order with  m,Positive
141,ZomatoIN Zomato I received food with foul smell  Your order from Krupa Mess amp Tiffins is on its way Enjoy yo,Positive
142,ZomatoIN Zomato ZomatoIN I am throwing food,Neutral
143,Now its near to  hours Cannot even cancel as another ordrler would take more time Such pathetic service,Negative
144,"souravlahoti Zomato ZomatoIN deepigoyal Hi Sourav, we are here to help you out with thisKindly DM us your co",Positive
145,ZomatoIN Zomato zomatocare ZomatoUK  order number Again had to cancel order as your rider said he wi,Negative
146,SwiggyCares Do you allow us to cancel order in a minute if placed a ordered incorrectly bcz Zomato doesnt,Neutral
147,"sindhutiwari ZomatoIN Zomato Hey Sid, we are getting this checked and well reach out to you ASAPAM",Positive
148,"Jambho Food         Zomato, Swiggy  ETVUP",Neutral
149,ZomatoIN LateorderdeliveryLootlocustomerI had very bad experience with Zomato I made one order by userid,Negative
150,ZOMATO,Neutral
151,marielleelagman idontkei Oo ata Parang I saw lang din recently yung foodpanda,Neutral
152,rabiulislam ZomatoIN What a pathetic services Got a call from restaurant saying the delivery boy is unavailable Ph,Negative
153,ZomatoIN Zomato zomatocare BurgerKing  order number Again had to cancel order as your rider said he,Negative
154,Has Zomato shut down its Treats program,Neutral
155,ZomatoIN So with your revised nonsense unlocking restriction If I  the person who has paid for ZOMATO GOLD want,Negative
156,jasmeenGdugal ZomatoIN Zomato BurgerKing Hey Man Burgers are like love at first bite We are reaching out to y,Positive
157,Zomato you guys are so miser that to initiate the refund processit has been more than your tagline of  workin,Negative
158,Slysterr Did not click You can probably check Zomato though,Neutral
159,zomatocare ZomatoIN Zomato BurgerKing Can only bite into it if it reaches me in this case sadly not The ser,Negative
160,Zomato Fake hai sab  Saale Pehle paise le kar baad mein order cancel kar dete hai Saali fake app  fake servic,Negative
161,"zomatocare ZomatoIN Zomato Leave it, I always have issues when ordered from Zomato",Negative
162,AnikGaat ZomatoIN LateorderdeliveryLootlocustomerI had very bad experience with Zomato I made one order by userid  Ex,Negative
163,hansaraman ZomatoIN Zomato zomatocare What happened,Neutral
164,Techglares Foodpanda Offer  Flat  Off Upto RsCode  SAVEPls  and Share,Positive
165,Staying in th floor has its own charm You can feel the feeble tremor even The bed shook a little I thought I,Neutral
166,"iamdatemike ZomatoIN Zomato zomatocare From tomorrow, you can use only x zomato golds at a table Earlier, if",Neutral
167,iamSunnyBhatti Zomato Hey Sunny We did not want you to wait so much We are reaching out to you super soonMr Singh,Positive
168,Register on Swiggy with MVHIYM and earn a discount Download on,Neutral
169,"hansaraman ZomatoIN Zomato zomatocare can they retrospectively impose those it is a breach of contract then, no",Negative
170,"hansaraman ZomatoIN Zomato zomatocare my contract law isnt great, but even if they have a clause in the origin",Negative
171,anil Zomato Hey Arnav That sounds hurtful Please share your details with us and we shall get this checked for youMr Singh,Neutral
172,"Just to clarify, I usually dont complain about any organisation publicly I understand that sometimes things go wr",Positive
173,"deepsanghvi Zomato ZomatoIN zomatocare Hi Deep, We are sorry to hear this We would like to assure you that w",Positive
174,"ZomatoIN Why should someone order from Zomato when the dishes prices are higher than on other platform, say",Neutral
175,"foodpandaIndia Another incident with same restaurant, order number wxgyp declined by Malabar restaurant, ban",Negative
176,foodpanda badserviceI wasted half an hour to know the food would be delivered to me or not Faasos never receive,Negative
177,zomato Thanks for your sarcasmPart,Positive
178,zomatocare Zomato,Neutral
179,zomatoPart,Neutral
180,zomato Part,Neutral
181,foodpandaIndia Biryani for some SundayMotivation Sounds Delicious DGet this amazing offer only on the foodpanda app,Positive
182,iamdatemike ZomatoIN Zomato zomatocare Im guessing they are banking on us not suing,Positive
183,"In my opinion, one of the underrated facts of Info Edges investee companies is their abil",Neutral
184,"iamaashwin Me and my friends ordered from foodpandaIndia application which was showing the restaurant open, so we did payment and ord",Positive
185,harshbarot Really disappointed by foodpandaIndia as I ordered the food from restaurant and we were waiting for the confirmation but,Negative
186,"Every day, we discover a new angle to look at pizza from, and it keeps looking better every day  Marie Jose via Zomato app",Positive
187,KashishShine Staying in th floor has its own charm You can feel the feeble tremor even The bed shook a little I thought I was,Neutral
188,"rs for a restaurant  kms away No wonder there are so many Swiggy delivery boys Its easy money And yeah, the",Positive
189,"Dear Zomato ZomatoIN deepigoyal, you introduced fair usage policies for your partners but what about your custom",Positive
190,Aree koi hai ya nai Zomato ZomatoIN zomatocare,Neutral
191,Register on Swiggy with RGQHA and earn Rs  Download on,Neutral
192,"Have a look at this review of Le Plaisir, Deccan Gymkhana on Zomato",Neutral
193,"Anitheking Zomato ZomatoIN Hey Anirudh, we are here to help you outKindly DM us your contact number so that w",Positive
194,"Heres my review of Blue Tokai Coffee Roasters, Champa Gali, Saket on Zomato",Neutral
195,PEastdelhi This is the season to indulge  Indian authentic flavoursCall us at  indiancuisine flavour foodie zo,Neutral
196,zomatocare Zomato ZomatoIN,Neutral
197,foodpandaIndia the way Foodpanda ocks your account if you log in with  account on a single device you will soon b,Neutral
198,Zomato worst app I have ever seen First they ploted auto order code in there app than they are showing order deli,Negative
199,Zomato zomatocare ZomatoIN ZomatoSA ZomatoUK ZomatoUS,Neutral
200,zomato,Neutral
201,Felling cheated Zomato,Negative
202,Bites x vibes by foodpanda   amoy street,Neutral
203,"Himanshuarora Zomato Hey Himanshu, that sound quite tangledKindly share the digit Zomato order ID so that",Positive
204,zomatocare Zomato ZomatoIN Now anyone going to reply or not,Neutral
205,"Is Bharatbandh applicable for drones harshamjty Wondering, if Swiggy has some alternative plans to deliver food tomorrow",Neutral
206,zomatocare Zomato Have dm the order id,Neutral
207,Swiggy mobile team is hiring and I am looking for multiple open positions iOS amp RN We are solving interesting pro,Positive
208,Hello Zomato zomatocare ZomatoIN  Respond Pl,Neutral
209,AntiAbhiyan All Swiggy staff go through the viable checks before being associated with us Please do let us kno,Positive
210,Zomato dominosindia order no   medium pizzas and only  oregano sachets Pls start charging for t,Negative
211,Register on Swiggy with VDNGO and earn Rs  Download on,Neutral
212,"AbinavSeelan ZomatoGold Zomato I usually dine alone or upto  people, all of whom have paid upfront for a Gold membership  The upda",Negative
213,"SwiggyCares You were suppose to call me today, but yet you ignored Speaks volume of your service good luck with",Positive
214,ZomatoGold worst experience Please check the below response from Zomato and kindly check the time gap as wellfin,Positive
215,zomatocare Worst customer experience by Zomato gold so far,Negative
216,"harshamjty nandanreddy rahuljaimini Good luck with such a great customer support team, after waiting for hours n",Positive
217,Guys please use your Zomato Gold today,Positive
218,manjunathc Swiggy mobile team is hiring and I am looking for multiple open positions iOS amp RN We are solving interesting problems,Positive
219,zomatocare Himanshuarora Zomato ZomatoIN zomatocare R u delivering to beggersOrder no I alrea,Negative
220,Zomato zomatocare ZomatoIN you are worst service providerYou deliver cold food and appoint a rude delivery guy,Negative
221,SwiggyCares So you want me to be available on the Twitter chat so that you can clear your guilt no sir I am not a,Neutral
222,"Mere ko wo zomato ke delivery boy wala bag lena he, pizza ghar pe late late fatt gyi",Neutral
223,"Swiggy Food Order amp Delivery Using Swiggy, you can order food and beverages  Buyscroll",Neutral
224,"Ankind Zomato ZomatoIN Hey Ankur, apologies for the hassle over hereKindly share your order details and we",Positive
225,zomatocare anil Zomato ZomatoIN zomatocare R u delivering to beggersOrder no I already,Negative
226,zomatocare Zomato ZomatoIN Have uninstalled the app dude,Neutral
227,zomatocare iamSunnyBhatti Zomato ZomatoIN zomatocare R u delivering to beggersOrder no I alread,Negative
228,zomatocare Zomato ZomatoIN No need to check further,Negative
229,"zomatocare Zomato ZomatoIN Your cutomer care executive has already explained procedure and protocols, which i am not satisfied",Positive
230,mariasaifuddin Hahaha I cant wait to save my  paise Logging into Swiggy right away,Positive
231,Placed and order with foodpandaIndia  Placed another order half an hour later with swiggyin  Swiggy delivered,Neutral
232,"akshaykawale Zomato ZomatoIN deepigoyal Hi Akshay, we are sorry to hear this We would like to assure you that",Positive
233,Zomato ZomatoIN zomatocare Order ID I specifically asked for Jain preparation but the food delivered,Neutral
234,Advertising done right Zomato,Neutral
235,zomatocare Zomato ZomatoIN  recivied call from dis no Guys are serious or not because your member,Negative
236,shivi McDonalds MCD Swiggy mcdonaldsindia Order no I was so grossed out today to see cockroach in my foodIt wa,Negative
237,"vaibhavbhai Zomato ZomatoIN Hi Vaibhav, we never intend to disappoint you in this wayWe are getting this che",Positive
238,me with swiggy ubereats and tomato all open my family loudly arguing in the background over kaju draksh havmore ice,Negative
239,"If you are ok with giving tips to waiters in restaurant, do it for food delivery swiggyubereats guys too They work harder than former",Positive
240,zomatocare  ZomatoIN After waiting for more than  hours my order is cancelled Worst service from zomato Spoile,Negative
241,"ksnagarajan If you are ok with giving tips to waiters in restaurant, do it for food delivery swiggyubereats guys too They work har",Positive
242,Paytm vijayshekhar Zomato I have coupon from Paytm but while applying while ordering on zomato it declined Now,Neutral
243,"Zomato Not one of your delivery guys in Aurangabad wear helmets, they drive with impunity on the wrong side of the roads",Negative
244,zomatocare iamSunnyBhatti Zomato ZomatoIN This is the reply from your support teamI didnt know the restaura,Positive
245,zomatocare anil Zomato ZomatoIN This is the reply from your support teamI didnt know the restaurant,Positive
246,zomatocare Himanshuarora Zomato ZomatoIN This is the reply from your support teamI didnt know the restaur,Positive
247,SwiggyCares Swiggy delivery person covered more than  kms to deliver food last nite amp yet was all smiles Excellent service swiggy,Positive
248,"OmRajpurohit Paytm vijayshekhar Zomato Hi there, kindly DM us your contact number so that we can reach out to",Positive
249,Zomato whats the use of live tracking when no one is updating it Received the order which was delayed by  minu,Negative
250,"ZomatoIN zomatocare zomato I ordered on zomato at around  PM, the estimated time of delivery was upto  P",Neutral
251,"sarcasticsharif Zomato Hey Hussain, kindly share your order details and we shall get this checked ASAPAM",Positive
252,I talked on zomato support also they are using foul language and not providing me resolution You are making fool o,Negative
253,Zomato swiggyin could you please give a mobile phone stand thingies to your delivery boys They drive with one,Positive
254,"ChinmayAgarwa ZomatoIN Zomato Hi Chinmay, that is clearly a lot of time for a Sunday night dinnerWe are get",Positive
255,swiggyin SwiggyCares Dear Swiggy You are in food delivery business You cant say that we will get back to you,Positive
256,zomatocare ZomatoIN Zomato Now I will not accept order because its already  hours Man youve imagined  mins,Negative
257,SwiggyCares swiggyin Order Number I ordered an hour back Still no delivery executive assigned Wast,Negative
258,Hello foodpanda my old friend,Positive
259,"jhaatlyf Hi, We intuit that distress has been caused to you and we completely bear the responsibility to fix this",Negative
260,zomatocare Zomato Order number,Positive
261,zomatocare ZomatoIN Zomato Waiting for your asap,Neutral
262,zomatocare ZomatoIN Zomato BurgerKing Its a pity you are so casual while spoiling customers dinners with hey,Neutral
263,"zomatocare ZomatoIN Zomato BurgerKing Mr Singh, is a pity you are so casual while spoiling customers dinners",Neutral
264,"rehanhere Hi As per your chat conversation with one of our executives, we hope the issue has been resolved Looki",Positive
265,"monikuntal Hi, Were terribly sorry to hear about your experience Please DM us your registered contact details so",Negative
266,"prateekjain Hi Prateek, Apologies for delay in the refund Please DM us your registered contact details so that",Neutral
267,TherealSPD dominosindia No denying that pointWhere did u order from My similar experience was when I ordered,Negative
268,Staff are the ones who enhance your dining experience  odonerme baklava odoner lamer,Negative
269,DearPestle Foodpanda,Neutral
270,foodpanda swiggy  its all about competition right,Neutral
271,SwiggyCares Just received an order from McD via Swiggy with items more than rs worth missing Contacted restaur,Neutral
272,swiggyin Just received an order from Mcd via Swiggy with items more than rs worth missing Contacted restauran,Neutral
273,SwiggyCares wrong order items delivered can u please checkYour order  was delivered earlier than ex,Negative
274,vits Looted money and changed the policy what a smart move ZomatoIN Zomato deepigoyal zomatogold,Positive
275,Stop using SwiggyCares as they dont have executives for delivery and after hours you have to track these guys and,Negative
276,DoctorLFC Fastest food delivery companies in IndiaTied at nd position   Swiggy Zomato Scootsyst  Medical interns deliv,Neutral
277,"Swiggy launches POP, to focus on singleserve meals, quick ordering",Neutral
278,"zomatocare Zomato This was from Tandoori Trumpets, Sector , Gurgaon",Neutral
279,"SuneelPawar Hi, We sincerely apologize for the inconvenience caused Request you to share your order details and w",Positive
280,"vaibhavkanwal ZomatoIN vipulsatya Looks like Zomato shot themselves in the foot here, you dont take back offers",Positive
281,Zomato ZomatoIN  hours since I placed my order still waitingThanks for making me consider swiggy,Neutral
282,Today after waiting for around one hour I was forced to cancel my order from swiggy as the delivery boy told me tha,Negative
283,Today while I eagerly waited for my order from foodpandaorder codeamlki pathetic behavior from delivery boy,Negative
284,KMantoo Zomato ZomatoIN Hey there We regret to hear about your weekends dinner Having this checked right away for you VS,Negative
285,foodpandaIndia Highlighting tempting pictures of desserts on the app amp delivering ordinarily average items Is thi,Neutral
286,zomatocare Zomato ZomatoIN Its been  plus hour with your chat service amp Im still hanging on,Neutral
287,"swiggyin When hunger tweets, well help you handle it Get the Swiggy app now",Positive
288,SwiggyCares OneFineTweet My issue got resolved last week swiggy Thank you,Positive
289,SwiggyCares wat did ur representative promise last tym that the mistakes will not be repated and swiggy will make,Negative
290,"SwiggyCares will suggest all of your there dont use swiggy to place order , use ZomatoIN  if you want a good facility",Positive
291,Request everyone to NOT subscribe to swiggy super Most useless waste of money SwiggyCares LiveFromALounge,Negative
292,Zomato  absolute nonsensehopeless delivery systemwaste of time,Neutral
293,zomatocare ZomatoIN Delivery person has gone somewhere else instead of coming to my place On top of it he is not,Positive
294,"Have a look at this review of The Square, Vishal Gaon on Zomato",Neutral
295,"SwagatoM Zomato Hi there, we are sad to hear thatKindly DM us your contact number so that we can reach out to",Negative
296,zomatocare Zomato,Neutral
297,DoctorLFC Fastest food delivery companies in IndiaTied at nd position   Swiggy Zomato Scootsyst  Medical interns deliv,Neutral
298,YouTube   tanintel x foodpanda,Neutral
299,swiggyin Get  off on your first Swiggy order Use code BINGE No Minimum order value Max discount order TCA,Positive
300,"My dinner today is the love child of swiggyin amp Zomato  Ordered from Zomato, packed in Swiggy box and cello tap",Positive
301,SwiggyCares swiggyin never pay swiggy online Always keep them hanging with COD options Once they recv payment,Positive
302,zomatocare ZomatoIN Zomato This is stavan shah from Ahmedabad GujaratI had ordered some food from status fanc,Neutral
303,"I messaged in the customer service in zomato even that is not replying me, it has been already  minutes but I hav",Neutral
304,"Heres my review of ButterflyHigh, Bandra Kurla Complex on Zomato ZomatoIN",Neutral
305,foodpandaIndia hey ur promotion delivery is a waste of time ordered twice and both time order cancelled such a was,Negative
306,"stavan ZomatoIN Zomato Hi Stavan, apologies for a complete mess over hereWe are getting this checked and we",Negative
307,"Heres my review of Burger King, Connaught Place on Zomato",Neutral
308,DoctorLFC Fastest food delivery companies in IndiaTied at nd position   Swiggy Zomato Scootsyst  Medical interns deliv,Neutral
309,swiggy worst order I want my money back,Negative
310,UberIndia UberSupport UberINSupport Zomato ZomatoIN zomatocare SwiggyCares swiggyin The food is still no,Negative
311,RTKoheeiOkubo SwiggyM,Neutral
312,"Gauravdhanawat Hi, We intuit that distress has been caused to you and we completely bear the responsibility to fix",Negative
313,anuj Today while I eagerly waited for my order from foodpandaorder codeamlki pathetic behavior from delivery boy Ranjit Ka,Negative
314,"Zomato Very bad service in Ranchi st order was misplaced by rider, nd repetitive  order was not expedited, casu",Negative
315,ZomatoIN ZomatoGold Their are only  restaurants remaining in the complete nagpur city that SUPPORT zomato gold,Positive
316,swiggy gulab jamun wala ad bada sahee hai,Neutral
317,"Heres my review of Burger King, Connaught Place on Zomato  zomato worstexperience",Neutral
